año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2009,3,0.05555555555555555,2022
2011,3,0.05555555555555555,2022
2012,1,0.018518518518518517,2022
2013,6,0.1111111111111111,2022
2014,8,0.14814814814814814,2022
2015,7,0.12962962962962962,2022
2016,13,0.24074074074074073,2022
2017,13,0.24074074074074073,2022
