año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,1,0.017543859649122806,2019
2006,1,0.017543859649122806,2019
2007,1,0.017543859649122806,2019
2008,1,0.017543859649122806,2019
2009,6,0.10526315789473684,2019
2010,1,0.017543859649122806,2019
2011,9,0.15789473684210525,2019
2012,15,0.2631578947368421,2019
2013,11,0.19298245614035087,2019
2014,11,0.19298245614035087,2019
