año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,3,0.1,2013
2006,2,0.06666666666666667,2013
2007,18,0.6,2013
2008,4,0.13333333333333333,2013
2009,3,0.1,2013
