año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,1,0.021739130434782608,2022
2006,1,0.021739130434782608,2022
2007,1,0.021739130434782608,2022
2008,1,0.021739130434782608,2022
2009,1,0.021739130434782608,2022
2010,2,0.043478260869565216,2022
2011,7,0.15217391304347827,2022
2012,3,0.06521739130434782,2022
2013,4,0.08695652173913043,2022
2014,7,0.15217391304347827,2022
2015,5,0.10869565217391304,2022
2016,4,0.08695652173913043,2022
2017,7,0.15217391304347827,2022
2018,2,0.043478260869565216,2022
