año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,1,0.008928571428571428,2024
2009,2,0.017857142857142856,2024
2010,1,0.008928571428571428,2024
2011,3,0.026785714285714284,2024
2012,3,0.026785714285714284,2024
2013,2,0.017857142857142856,2024
2014,12,0.10714285714285714,2024
2015,13,0.11607142857142858,2024
2016,6,0.05357142857142857,2024
2017,13,0.11607142857142858,2024
2018,16,0.14285714285714285,2024
2019,16,0.14285714285714285,2024
2020,16,0.14285714285714285,2024
2021,8,0.07142857142857142,2024
