año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2006,1,0.010752688172043012,2022
2007,2,0.021505376344086023,2022
2008,3,0.03225806451612903,2022
2009,4,0.043010752688172046,2022
2010,3,0.03225806451612903,2022
2011,3,0.03225806451612903,2022
2012,7,0.07526881720430108,2022
2013,3,0.03225806451612903,2022
2014,12,0.12903225806451613,2022
2015,19,0.20430107526881722,2022
2016,24,0.25806451612903225,2022
2017,7,0.07526881720430108,2022
2018,2,0.021505376344086023,2022
2019,2,0.021505376344086023,2022
2020,1,0.010752688172043012,2022
