año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,2,0.00975609756097561,2025
2006,1,0.004878048780487805,2025
2007,1,0.004878048780487805,2025
2008,1,0.004878048780487805,2025
2009,2,0.00975609756097561,2025
2010,3,0.014634146341463415,2025
2011,3,0.014634146341463415,2025
2012,3,0.014634146341463415,2025
2013,6,0.02926829268292683,2025
2014,5,0.024390243902439025,2025
2015,7,0.03414634146341464,2025
2016,6,0.02926829268292683,2025
2017,17,0.08292682926829269,2025
2018,31,0.15121951219512195,2025
2019,64,0.3121951219512195,2025
2020,41,0.2,2025
2021,12,0.05853658536585366,2025
